,Name,Price,Rating,Image
27,"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK011EIN","62,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51D0u37wUuL._AC_UY218_.jpg
28,"HP Chromebook X360 Intel Celeron N4120 14 inch(35.6 cm) Micro-Edge, Touchscreen, 2-in-1 Laptop (4GB RAM/64GB eMMC/Chrome OS/Intel UHD Graphics,1.49Kg), 14a-ca0506TU","20,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/714QTs222ZL._AC_UY218_.jpg
29,"Acer Aspire Lite 11th Gen Intel Core i3 Premium Metal Laptop (8GB RAM/256GB SSD/Windows 11 Home) AL15-51, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg","30,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UY218_.jpg
30,"Xiaomi Notebook Ultra Max 11th Gen Intel Core i5-11320H Thin & Light (16GB/512GB SSD/Iris Xe Graphics/15.6"" 3.2K Resolution/Win 11/Thunderbolt 4/MS Office '21/Fingerprint Sensor/1.7 Kg)","51,805",4.2 out of 5 stars,https://m.media-amazon.com/images/I/710aJMxsUXL._AC_UY218_.jpg
31,"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 6600H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office/NVIDIA RTX 3050 4GB/RGB Keyboard/Alexa/3Month Game Pass/Onyx Grey/2.32Kg), 82SB00V3IN","67,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61cAO0yr8nL._AC_UY218_.jpg
32,"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","25,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71lYhcc++AL._AC_UY218_.jpg
33,"ASUS Vivobook S15 OLED 2022, 15.6"" 39.62 cm FHD OLED, Intel Core Evo i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Black/1.8 kg) K3502ZA-L502WS","74,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71DBkrxqBDL._AC_UY218_.jpg
34,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver","83,990",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71TPda7cwUL._AC_UY218_.jpg
35,"MSI Gaming GF63 Thin, Intel Core i7-11800H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX1650 4GB GDDR6/ Black/1.86Kg), 11SC-852IN","54,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61cgS33eaRL._AC_UY218_.jpg
36,"Lenovo Yoga Slim 7 Pro Intel Evo Core i5-11320H, 14""(35.6cm)2.8K 400nits Thin & Light Laptop(16GB/512GB SSD/Win11/Office 2021/90Hz/Backlit/3Yr Brand Warranty/Slate Grey/Metal Surface/1.3Kg),82NC00EWIN","69,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51qPrXE56-L._AC_UY218_.jpg
37,"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg","77,490",4.1 out of 5 stars,https://aax-eu.amazon.in/e/loi/imp?b=JKEZDDRscRGJXM4q1I5JcwIAAAGMgKOIwwMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAs66rt
38,,,,
39,"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg","77,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51jUcRK69ML._AC_UL640_QL65_.jpg
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,4 Stars & Up,
47,,,,
48,,,,
49,,,,
50,,,,
51,"Samsung Galaxy Book3 Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, with MS Office)","78,490",3.5 out of 5 stars.,"https://m.media-amazon.com/images/S/al-eu-726f4d26-7fdb/196ba2a8-8131-4b6c-9c0a-f44302a21dfc._CR0,0,1200,628_AC_SX130_SY60_QL70_.jpg"
52,"Samsung Galaxy Book3 Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, with MS Office)","78,490",4.4 out of 5 stars,https://m.media-amazon.com/images/I/7125UgHRUIL._AC_UY218_.jpg
53,"Dell 15 Laptop, Intel Core i5-1135G7 Processor/16GB DDR4/512GB SSD/Intel UHD Graphic/15.6"" (39.562cm) FHD Display/Win 11+MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon/Thin & Light 1.69kg","50,790",3.5 out of 5 stars,https://m.media-amazon.com/images/I/51CTXHQux0L._AC_UY218_.jpg
54,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i5 Processor (16 GB/512 GB SSD/Windows 11 Home/NVIDIA ® GeForce RTX ¢ 4050) PHN16-71, (16"") WUXGA Display","1,04,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/81pB730MM8L._AC_UY218_.jpg
55,"MSI Modern 15, Intel 11th Gen. i5-1155G7, 40CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B11M-061IN","41,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61w06bQsOyL._AC_UY218_.jpg
56,"HP Chromebook 14a,Intel Celeron N4500 14inch(35.6 cm) FHD Touchscreen Laptop (Chrome OS, 4 GB SDRAM/64 GB eMMC/Chrome 64 /Dual Speakers/Google Assistant Built-in/Mineral Silver) 14a- na1004TU","19,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71uRmmrCGzL._AC_UY218_.jpg
57,,"54,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61PeZXpc5-L._AC_UL320_.jpg
58,,,,
59,,"54,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61PeZXpc5-L._AC_UL320_.jpg
60,,"69,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51qPrXE56-L._AC_UL320_.jpg
61,,"39,800",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71PHHI3+RkL._AC_UL320_.jpg
62,,"59,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61nC5tJlUEL._AC_UL320_.jpg
63,,"32,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81l6dhsPWHL._AC_UL320_.jpg
64,"Dell 14 Laptop, Intel 12th Gen Core i3-1215U Proc/8GB DDR4/512GB SSD/Intel UHD Graphic/14.0"" (35.56cm) FHD Display/Spill-Resistant Keyboard/Win11+MSO'21/15 Month McAfee/Black/Thin & Light 1.48kg","37,490",3.9 out of 5 stars,https://aax-eu.amazon.in/e/loi/imp?b=JGJ4iehwOi6hBSa3Iae76bUAAAGMgKOyRgMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAHj9Vl
65,,,,
66,"Dell 14 Laptop, Intel 12th Gen Core i3-1215U Proc/8GB DDR4/512GB SSD/Intel UHD Graphic/14.0"" (35.56cm) FHD Display/Spill-Resistant Keyboard/Win11+MSO'21/15 Month McAfee/Black/Thin & Light 1.48kg","37,490",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51JVwUZNDwL._AC_UL640_QL65_.jpg
67,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics), Black","15,000",3.5 out of 5 stars,https://m.media-amazon.com/images/I/51CqQ4OkrjL._AC_UY218_.jpg
68,"HP Laptop 15s, Intel Celeron, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers, BrightView Display (Win 11, MSO 2021, Silver, 1.65 kg), fq3071TU","28,990",3.2 out of 5 stars,https://m.media-amazon.com/images/I/81GuRJraGlL._AC_UY218_.jpg
69,"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","39,790",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71Blj59DzzL._AC_UY218_.jpg
70,"Lenovo IdeaPad Slim 5 Ryzen 7 7730U 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD IR Camera/Alexa/3 Month Game Pass/Arctic Grey/1.46Kg), 82XE0072IN","63,990",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61w2HawBGoL._AC_UY218_.jpg
71,"ASUS Vivobook 16X (2022), AMD Ryzen 7 5800Hs, 16"" (40.64 Cms) Fhd+, Thin and Laptop (HDMI/16Gb/512Gb Ssd/Windows 11/Office 2021/Alexa Built-in/Backlit Kb/Fp Sensor/Silver/1.88 Kg), M1603Qa-Mb712Ws","57,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71HD+TwPD8L._AC_UY218_.jpg
